annotation_row_id,finding_id,repo_id,repository,commit_sha,security_family,cwe_id,filename,statement_start,statement_end,line_number,statement_code,label,rationale,evidence_locations
GT-001,FND-000267,R016,certbot/certbot,56ee04928d677d82c6a375a7c7b48e8ce13bb6bc,disabled-cert-validation,CWE-295,acme/src/acme/challenges.py,325,325,325,"            http_response = requests.get(uri, verify=False, timeout=timeout)",FALSE_POSITIVE,"The request is part of ACME HTTP-01 validation. The code deliberately ignores TLS certificate validation while fetching the challenge URI, but authenticity is established by comparing the returned key-authorization value with the expected challenge response. This is not being used as a normal authenticated HTTPS client connection.",acme/src/acme/challenges.py:311-343
GT-002,FND-000273,R016,certbot/certbot,56ee04928d677d82c6a375a7c7b48e8ce13bb6bc,disabled-cert-validation,CWE-295,certbot-ci/src/certbot_integration_tests/utils/misc.py,64,65,64,"            if requests.get(url, verify=False, timeout=10).status_code == 200:
                return",FALSE_POSITIVE,This helper is under Certbot's integration-test package and polls a test endpoint while explicitly suppressing certificate warnings. The disabled verification is confined to the test harness rather than a production trust decision.,certbot-ci/src/certbot_integration_tests/utils/misc.py:50-83
GT-003,FND-000294,R016,certbot/certbot,56ee04928d677d82c6a375a7c7b48e8ce13bb6bc,weak-hash,CWE-327,certbot/src/certbot/_internal/account.py,75,75,75,"            hasher = hashlib.new('md5', **cast(Mapping[str, Any], {""usedforsecurity"": False}))",FALSE_POSITIVE,"MD5 is applied to the account public key only to derive a stable local account identifier. The fallback explicitly marks MD5 as not used for security, and the digest is not used to authenticate the account or verify signatures.",certbot/src/certbot/_internal/account.py:61-93
GT-004,FND-000266,R015,encode/httpx,b5addb64f0161ff6bfe94c124ef76f6a1fba5254,weak-hash,CWE-327,httpx/_auth.py,309,309,309,        return hashlib.sha1(s).hexdigest()[:16].encode(),FALSE_POSITIVE,"SHA-1 is used only while constructing the HTTP Digest client nonce, and the input includes fresh os.urandom() bytes. The nonce is not a password hash or integrity signature, so collision resistance of SHA-1 is not the security property relied on here.",httpx/_auth.py:295-327
GT-005,FND-001048,R064,twisted/twisted,ac919a6d1b2f91b7dea806bacfae99abab5291d4,weak-hash,CWE-327,src/twisted/conch/ssh/transport.py,2028,2030,2028,"        fingerprint = b"":"".join(
            [binascii.hexlify(c) for c in iterbytes(md5(pubKey).digest())]
        )",TRUE_BUG,"The MD5 digest is computed over the SSH server host key and passed as the fingerprint to verifyHostKey during key exchange. That value participates directly in server-identity verification, so this is a security-sensitive use of a weak hash.",src/twisted/conch/ssh/transport.py:2014-2048
GT-006,FND-000110,R003,django/django,9193cb54550727a02fd55dab1b430597a9aa4297,weak-hash,CWE-327,django/db/backends/sqlite3/_functions.py,414,414,414,    return md5(text.encode()).hexdigest(),FALSE_POSITIVE,"This function exposes SQLite's generic MD5 SQL function for compatibility. The frozen code does not use the digest for passwords, authentication, signatures, or another security decision.",django/db/backends/sqlite3/_functions.py:400-432
GT-007,FND-001294,R095,boto/botocore,b4c8dd94e3e705217ee084e84dbb6aa747417c8b,weak-hash,CWE-327,botocore/httpchecksum.py,169,169,169,        self._checksum = sha1(),FALSE_POSITIVE,"This class implements a SHA-1 checksum object for HTTP checksum handling. The digest is used as a transport/data checksum, not as a password hash, authentication token, or signature primitive in this code path.",botocore/httpchecksum.py:155-187
GT-008,FND-000174,R011,paramiko/paramiko,142f593e40ad767c5e3556cbace66dc84589620c,weak-hash,CWE-327,paramiko/hostkeys.py,299,299,299,        assert len(salt) == sha1().digest_size,FALSE_POSITIVE,SHA-1 is used inside the OpenSSH-compatible hashed-known-hostname format with a random salt and HMAC. This hides hostnames in known_hosts; it is not the mechanism that verifies the server's host key.,paramiko/hostkeys.py:285-317
GT-009,FND-000618,R045,sqlmapproject/sqlmap,1ee368f78a73ccc1c193af32d4e70c1244be5865,weak-hash,CWE-327,extra/dbwire/firebird.py,171,171,171,    h = hashlib.sha1(),TRUE_BUG,"The Firebird wire client uses SHA-1 inside its SRP authentication calculations, including password-derived values and session/proof material. Because the primitive is used directly in an authentication protocol, this is security-sensitive weak-hash use under the V6 rule.",extra/dbwire/firebird.py:157-189
GT-010,FND-000727,R045,sqlmapproject/sqlmap,1ee368f78a73ccc1c193af32d4e70c1244be5865,weak-hash,CWE-327,lib/utils/hashdb.py,97,97,97,"        retVal = struct.unpack(""<Q"", hashlib.md5(key).digest()[:8])[0] & 0x7fffffffffffffff",FALSE_POSITIVE,The MD5 digest is truncated and used as an internal key for sqlmap's local session/hash database. It is a cache/index identifier and is not used to authenticate users or protect a security token.,lib/utils/hashdb.py:83-115
